round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.102379,0.250686
1,20,0.135268,0.264024
2,30,0.165155,0.271850
3,40,0.181227,0.281022
4,50,0.186041,0.292059
5,60,0.188545,0.301033
6,70,0.194490,0.309480
7,80,0.202359,0.319575
8,90,0.211699,0.328151
9,100,0.215443,0.336952
10,110,0.223930,0.346163
11,120,0.229090,0.354461
12,130,0.233099,0.364529
13,140,0.239383,0.372701
14,150,0.245967,0.382393
15,160,0.254279,0.391006
16,170,0.259046,0.399746
17,180,0.264557,0.408282
18,190,0.273344,0.416045
19,200,0.276695,0.424664
